根据startDate和endDate计算workingDays, calculateWorkingDays
返回小部件的文本基线相对于小部件顶部边界的偏移量,get baseline
确定客户端在为此 PrintService设置作业时可以指定的打印数据格式。,getSupportedDocFlavors
如果数据库当前打开，则返回 true,is open
检查该设备是否是所创建的p2p群组的群组所有者,is group owner
使宿主视图有机会用其文本内容填充辅助功能事件,on populate accessibility event
使用数字地址字符串将网络地址添加到 VPN 接口的便捷方法,add address
返回该项目是否可播放,is playable
设置是否添加流中有多少张未读卡片的指示器,set show unread count indicator
返回整数/二进制 unicode 属性的最大值,get int property max value
设置视图作为此信息表示的视图的标签，以实现可访问性,set labeled by
返回拥有此规则的条件提供者服务的组件名称,get owner
对由控制器的片段管理器管理的片段执行任何挂起的操作,exec pending actions
获取内容类型,get content type
检查值是否在此范围内,contains
设置折叠模式,set collapse mode
设置此操作是否可聚焦,set focusable
返回指定流类型的输出采样率（以 Hz 为单位）,get native output sample rate
返回 loader作为启动加载器的所有类的数组。,getInitiatedClasses
设置为 true 以使可绘制的位图在缩放或旋转时使用双线性采样进行过滤,set filter bitmap
如果可以在不违反容量限制的情况下立即插入指定元素，则在此双端队列的末尾插入指定元素，如果当前没有可用空间，则抛出 IllegalStateException 。,addLast
创建一个新的双缓冲区，其内容是此缓冲区内容的共享子序列。,slice
从流中读取一个字节，并（概念上）将其转换为int，使用 0xff对其进行 0xff ，以便剥离任何符号扩展位，并将其作为 byte值返回。,readUnsignedByte
完成删除之前临时分离的视图,remove detached view
构造并返回具有给定属性和一组 int 值的属性值持有者,of int
确定此对象是否可见,createScrollPaneForTable
添加每次执行此类中的视图操作时运行的视图断言,add global assertion
如果这是一条“替换短信”短信，请参阅 ts 23.040 9.2.3.9 返回 true,is replace
设置搜索条件以匹配已启用的小部件,enabled
返回用作后续对话框的内容视图的布局资源,get dialog layout resource
实现EntityResolver 。,resolveEntity
用于写入长值的绝对 put方法 （可选操作） 。,putLong
用户已经开始说话,on beginning of speech
获取向该视图提供数据的适配器,get expandable list adapter
用于发送类型公告可访问性事件以发布与某种上下文更改相关的公告的便捷方法，而表示 ui 转换的事件都不适合该上下文更改,announce for accessibility
创建一个共享此缓冲区内容的新int缓冲区。,duplicate
描述电话帐户的短标签,get label
指示此水平滚动视图是否应该拉伸其内容宽度以填充视口,set fill viewport
装载到 Synthesizer包含在指定的所有仪器 Soundbank 。,loadAllInstruments
设置最小边距,set min margins
dsymm 执行矩阵 - 矩阵运算之一 c := alpha ab + betac 或 c := alpha ba + betac 详细信息：,dsymm
使用指定的格式化程序格式化此日期时间。,format
更改约束属性时将调用此方法。,vetoableChange
由托管配置文件的配置文件所有者调用，以便托管配置文件中发送的某些意图也可以在父级中解析，反之亦然。,add cross profile intent filter
设置自定义角色描述,set role description
返回用于在此调色板上显示的任何“标题”文本的适当颜色。样本的颜色,get title text color
获取有关给定帐户和权限的定期同步的信息列表,get periodic syncs
将指定参数设置为给定输入流。,setAsciiStream
从给定的规格和参数中选择最接近所需尺寸且符合规格的尺寸,choose size
如果字符串存在分区且该集合包含每个分区字符串，则返回 true,contains all
获取列宽,getColumnWidth
设置 jpeg 图片中 exif 缩略图的尺寸,set jpeg thumbnail size
检查当前是否持有该多播锁,is held
通知辅助功能框架特定项目的属性已更改,invalidate virtual view
返回用于存储默认共享首选项的名称,get default shared preferences name
从指定时区的系统时钟获取当前年月。,now
调用提供者定义的方法,call
返回位图的高度,get height
对应设置追加项格式的getter,get append item format
获取地面速度（如果可用），以米/秒为单位,get speed
回调以通知健康应用程序的注册状态发生变化,on health app configuration status change
当演示文稿所附加的显示器已被移除时由系统调用,on display removed
ICC配置文件颜色空间类型签名：'ACLR'。,icSigSpaceACLR
返回所有已知位置提供者的名称列表,get all providers
返回一个 Type对象的数组，表示此类型变量的下限。,getLowerBounds
如果任何管理的加载程序当前正在运行并且尚未将数据返回到应用程序，则返回 true,has running loaders
每个传感器都有一种与其关联的报告模式,get reporting mode
返回用于在组合框中绘制项目的列表。,getList
用指定偏移处的光标表示填充指定路径,get cursor path
返回此通道所连接的实体的当前大小。,size
ICC配置文件标题位置：配置文件的类型。,icHdrDeviceClass
创建策略对象并将其设置为阻止安装最多 30 天,create postpone install policy
获取片段的列表视图小部件,get list view
设置 arg 小数部分参数,set fractional part
每当输入设备添加到系统时调用,on input device added
设置阈值来判断视图是否已被拖动到足以被关闭的程度,set drag dismiss distance
计算数据源中找到的曲目数,get track count
清除存储的 ssl 首选项表以响应继续处理 ssl 证书错误,clear ssl preferences
用第一个可用的非空图层轮廓填充轮廓,get outline
构造一个新的 by 选择器并设置检查条件,checked
设置此通知的元数据,set extras
当只有一个属性正在动画时由该值动画师计算的最新值,get animated value
规范化指定的元状态,normalize meta state
更新当前可见的项目范围,on range changed
设置监听器以在单击列表项时接收事件,set on item click listener
删除菜单可见性侦听器,remove on menu visibility listener
该组是否按照添加的顺序对首选项进行排序,is ordering as added
搜索指定方向上最近的可以获取输入焦点的视图,focus search
此映射中的节点数。,getLength
返回此视图是否能够获得焦点,is focusable
此方法是 writeShort的同义词。,writeChar
TreeWalker当前所在的节点。,setCurrentNode
返回地块中的空间总量,data capacity
将此 RowSet对象命令中的指定参数设置为给定的Java byte值。,setByte
返回将用于传输回调用活动的共享元素的转换,get shared element return transition
评估给定的网络断言,check
返回不确定属性的值,isIndeterminate
如果树正在被编辑，则返回true,isEditing
直接删除账户,remove account explicitly
设置要捕获的视频的帧速率,set video frame rate
检索事件的重复计数,get repeat count
使用监视服务注册此路径所在的文件。,register
将此日期时间转换为 Instant 。,toInstant
覆盖以处理倒带请求,on rewind
通知通知管理器有关取消特定通知的信息,cancel notifications
设置油漆的优雅高度度量标志,set elegant text height
要插入的HTML。,html
返回此映射中包含的键的NavigableSet视图。,navigableKeySet
返回要在后续对话框中显示的标题,get dialog title
将扩展程序应用于此通知生成器,extend
设置此整理器的分解模式,set decomposition
返回要将包导出到的特定模块，如果将包导出到所有对此模块具有可读性的模块，则返回null。,getTargetModules
用于向包裹写入信使或空指针的便捷函数,write messenger or null to parcel
返回用于焦点突出显示的缩放系数,get focus zoom factor
设置分隔符的尺寸,setSeparatorSize
确定水平滚动条何时出现在滚动面板中,setHorizontalScrollBarPolicy
此行为开始拦截协调器布局触摸事件后响应它们,on touch event
将此缓冲区的内容加载到物理内存中。,load
标记备份数据流中一条记录的开始,write entity header
配置当安全源尝试从不安全源加载资源时 Web 视图的行为,set mixed content mode
如果文件下载成功，则返回给定下载文件 id 的媒体类型,get mime type for downloaded file
当输出格式改变时调用,on output format changed
设置应显示多少阴影,set shadow visibility
评估指定上下文中的XPath表达式。,evaluateExpression
被叫通知ComboPopup UI正在卸载。,uninstallingUI
返回应用于设置此控制器的视图组的每个子级的动画,get animation
获取给定键的测量值,get measurement
仅在处理触摸手势时，如果初始触摸事件导致焦点移动到文本视图并因此其选择发生更改，则返回 true 。,did touch focus select
检查协调器布局坐标中的给定点是否在给定直接子视图的视图范围内,is point in child bounds
将调试标志设置为新值,set debug flags
检索索引处属性的整数值,get int
返回与此对象相同类型的对象，并添加一个量。,plus
返回从零开始的子选定项位置,get selected sub position
将指定参数设置为给定的Java byte值。,setByte
边界插入。,borderInsets
清除指示该接收器应中止当前广播的标志,clear abort broadcast
设置是否允许在文件方案 url 上下文中运行的 java 脚本访问来自任何来源的内容,set allow universal access from file url s
获取向服务器发送密钥请求消息时使用的默认 url（如果已知）,get default url
将菜单资源填充到此弹出菜单中,inflate
添加一个侦听器，用于接收由目标命名的对象上的搜索过滤器 filter标识的对象被修改时触发的命名事件。,addNamingListener
根据当前设置的百分比值填充传递的视图 group.layout params 对象的宽度和高度字段,fill layout params
获取当前默认声音的uri,get actual default ringtone uri
删除元素的一组属性。,removeAttributes
设置此选项卡内容的描述以用于辅助功能支持,set content description
获取与列表中指定位置关联的数据,get item at position
按下某个键时调用。,menuKeyPressed
设置该位置的估计精度，米,set accuracy
测试给定的 uri 是否代表由文档提供者支持的文档contract.document,is document uri
控制当用户与当前显示壁纸的窗口交互时此壁纸是否将从窗口管理器接收原始触摸事件,set touch events enabled
为子类提供创建视图的机会，该视图将替换当前播放内容的默认媒体控件,on create media control view
设置资源响应的标头,set response headers
当此活动位于前台时，将 NFC 控制器限制为读取器模式,enable reader mode
从分割窗格中移除所有子组件,removeAll
使用指定的格式化程序格式化今年 - 月。,format
创建一个顶级窗口供输入法使用。,createInputMethodWindow
获取当前测光区域,get metering areas
提交值返回任务以执行并返回表示任务的挂起结果的Future。,submit
获取此远程输入附带的附加元数据,get extras
异步预热浏览器进程,warmup
设置关联的缩放手势检测器。当用户执行双击然后滑动时，缩放手势侦听器是否应接收缩放回调,set quick scale enabled
如果此游标定义了给定列，则提供可能包含的值,add
返回标题视图,get title view
返回卡片顶边之后的内部填充量,get content padding top
获取日期选择器自 1970 年 1 月 1 日 00:00:00 以来的最小值（以毫秒为单位），获取默认时区,get min date
将指定参数设置为 InputStream对象。,setBlob
返回提供的索引处的属性的qname,getAttributeName
处理输入缓冲区并将直方图放入输出分配中,for each dot
显示逻辑行或列的组件应计算滚动增量，该增量将完全显示一个新行或列，具体取决于方向的值。,getScrollableUnitIncrement
调用以将 MIDI 数据发送到不带时间戳的接收器,send
返回布局膨胀器，在从 get 下拉列表 viewint 、 view 、 view group 膨胀任何布局时应使用该布局膨胀器,get drop down view inflater
重置回初始状态,reset
实现此接口的节点的字符数据。,setData
创建一个新的浮点缓冲区，其内容是此缓冲区内容的共享子序列。,slice
设置或清除按钮的翻转状态,setRollover
返回浮动操作按钮的向后兼容高度,get compat elevation
用于设置标志、设置或清除文本标志位的删除线的助手,set strike thru text
返回由粘合层管理的播放控制行,get controls row
如果可能，请在适当的位置显示此框架。,openFrame
将光标当前行的内容打印到system.out,dump current row
为音频硬件设置可变数量的参数值,set parameters
添加路线列表,add routes
一个属性，指定解析时用于此文档的编码。,getInputEncoding
如果此布局管理器绑定到的回收器视图具有不同的适配器集，则调用,on adapter changed
由设备或配置文件所有者或委托的证书安装程序调用，以安装证书和相应的私钥。,install key pair
返回视频宽度支持的视频高度范围,get supported heights for
返回整数/二进制 unicode 属性类型的最小值,get int property min value
设置渲染此组件的外观和感觉对象,setValue
获取该摄像头设备的id,get id
返回包含标签和图标资源的包的名称,get source package
获取与此循环器关联的线程,get thread
返回此时区格式实例使用的默认解析选项,get default parse options
每当窗口焦点改变时就会调用这个钩子,on window focus changed
在每个配置的处理程序上运行备份进程,on backup
返回此服务提供的特征列表中具有给定 uuid 的特征,get characteristic
移动到媒体流中的新位置,seek to
相对批量 放置方法 （可选操作） 。,put
定义与此路由关联的播放是“本地”播放类型本地还是“远程”播放类型远程,set playback type
确定测量时是否考虑所有儿童，或仅考虑那些处于可见或不可见状态的儿童。,get measure all children
从当前数据位置的地块中读取字符串值,read string
关闭此页面,close
获取时钟的偏差不确定度1 - sigma（以纳秒为单位）,get bias uncertainty nanos
当应用程序报告文本的新选择区域时调用,on update selection
将属性添加到给定集，并返回新的代表集。,addAttribute
返回当前最小和最大预览 fps,get preview fps range
给定 0...size - 1 范围内的索引，返回此稀疏数组存储的第索引键-值映射中的值,value at
禁用并销毁之前使用 create sessionandroid.view.inputmethod.input method.session 回调创建的会话,revoke session
"chbmv 执行矩阵 - 向量运算 y := alpha ax + betay 详细信息： 注意：对于 nn 矩阵，输入分配的大小也应为 nn dimy = n , dimx = n ，但仅引用区域 nk+1",chbmv
设置在将屏幕外视图添加到潜在共享的回收视图池之前保留的数量,set item view cache size
获取父窗口（如果有）,get parent
使用指定的图像能力和透明度值，返回与此图形配置兼容的数据布局和颜色模型的易失图像,createCompatibleVolatileImage
将点映射到列表中的位置,point to position
获取该组的密码,get passphrase
将此 RowSet对象命令中的指定参数设置为给定的 java.sql.Time值。,setTime
设置在 set action charequence 、 view.on click 侦听器中指定的操作的文本颜色,set action text color
获取给定标签的 nfcv 实例,get
删除当前的管理组件,remove active admin
操作方式与 inet address.get by name 相同，只是主机解析是在此网络上完成的,get by name
设置最大文本长度，或 - 1 表示无限制,set max text length
检查指定的瞬间是否在夏令时中。,isDaylightSavings
返回此窗口的玻璃面板组件,getGlassPane
设置当系统进入环境模式时此活动应保持显示,set ambient enabled
开始移动动画时由子类调用的方法,dispatch move starting
根据 get toolminorint 返回历史工具短轴坐标，该坐标发生在给定指针的该事件和上一个事件之间,get historical tool minor
检查设备是否处于自然方向,is natural orientation
重写此方法以拦截从设备发送的长 sm ss,on send multipart text sms
表示用户是否可以调整此框架的大小,isResizable
当详细信息概述行已更改图像可绘制时调用,on image drawable changed
返回主要呼叫的视频状态,get video state
如果需要，将视图添加到当前附加的回收器视图,add view
请参阅 set 应使用生成的 idsboolean,should use generated ids
当电视输入添加到系统时调用此函数,on input added
从外部资源创建新的阵列适配器,create from resource
返回 true如果此方法是默认的方法，并返回 false其他。,isDefault
ctpmv 执行矩阵向量运算之一 x := ax 或 x := atx 或 x := ahx 详细信息： 注意：对于 nn 矩阵，输入分配应该是大小为 dimx = nn+1 / 2 的 1d 分配，下面的子例程可以是一个示例，展示如何将上三角矩阵 ' a ' 转换为压缩矩阵 ' b ',ctpmv
保护套接字免受 VPN 连接影响的便捷方法,protect
设置添加的字符数,set added count
补充该集合中的指定范围,complement
给定的数据路径是否包含在过滤器中？请注意，如果过滤器不包含任何路径，则始终返回 false,has data path
返回唯一标识此推荐的字符串 id 标记,get id tag
判断这个长缓冲区是否是直接缓冲区。,isDirect
播放期间到达媒体源末尾时调用,on completion
返回查询文本字段上设置的输入类型,get input type
如上所述在 LSSerializer接口的一般描述中序列化指定的节点。,writeToString
返回给定数量的给定资源 id 的语法正确复数所需的字符串,get quantity string
将视图中的列表项滚动指定的像素数,scroll list by
通知侦听器某些打印作业属性的更改。,attributeUpdate
获取此 Web 视图是否支持文件访问,get allow file access
报告图像的给定区域已更新。,imageUpdate
返回浏览片段的实例。浏览片段将使用主片段适配器与目标片段进行通信,get main fragment adapter
覆盖等于,equals
根据给定的参数计算此谓词。,test
收集指令计数,collect
如果应选择编辑单元格，则返回true，否则返回false。,shouldSelectCell
设置指定列是否区分大小写。,setCaseSensitive
获取列之间的分隔符字符串,get separator
返回对此资源对象有效的当前显示指标,get display metrics
检查两个视图是否相互重叠,do views overlap
连接到给定的媒体控制器,attach to media controller
获取更改序列的第一个字符的索引，或文本选择的开头或滚动时第一个可见项目的索引,get from index
选择一行,set selected position
由配置文件或设备所有者调用以检查主音量静音是否打开或关闭,is master volume muted
模式更改后立即调用，为子类提供重新样式等选项,on mode change
执行从源Raster到目标Raster的单输入/单输出操作。,filter
返回当前事件结束的列号，如果没有，则返回-1。,getColumnNumber
启用对给定活动的前台调度,enable foreground dispatch
返回 Shift 元键的按下状态,is shift pressed
告诉菜单选择关闭并取消选择所有菜单组件,clearSelectedPath
返回要在后续对话框中显示的肯定按钮的文本,get positive button text
使用给定值设置时间字段,set
如果传感器是唤醒传感器，则返回 true,is wake up sensor
返回该货币应显示的小数位数及其用途,get default fraction digits
将加载结果发送到注册的监听器,deliver result
如果 get id 是资源标识符，则这是该标识符的条目名称,get id entry
这与保存实例状态包相同，但为使用属性持久模式设置为在重新启动后保留而创建的活动调用,on save instance state
返回输入法可用的最大宽度，以像素为单位,get max width
创建一个新的双缓冲区，其内容是此缓冲区内容的共享子序列。,slice
为给定的布局管理器创建水平方向助手,create horizontal helper
为微调器的弹出选择窗口设置背景可绘制对象,set popup background drawable
设置视图存根膨胀时要调用的视图存根 on inflate 侦听器,set on inflate listener
初始化服务器包前缀：假定服务器引用类（例如，UnicastRef，UnicastServerRef）的实现位于由前缀定义的包中。,packagePrefix
读取四个输入字节并返回 int值。,readInt
此方法返回 Insets描述相对于实现Component的几何的自动滚动区域或边框。,getAutoscrollInsets
您可以自己调用此函数，让滚动视图从按键事件执行滚动，就像该事件已由视图层次结构分派给它一样,execute key event
检索索引处属性的颜色状态列表,get color state list
触发一个对话框，其中列出了与请求的联系人条目交互的各种方法,show quick contact
构建表示文档提供程序中目标列文档 ID 的 uri,build document uri using tree
添加服务属性作为键/值对,set attribute
如果作者有宽松的语法规则，则返回 true,is lenient
被调用以通知监听器打印服务中的事件。,attributeUpdate
滚动到某个位置的便捷方法,scroll to position
注册 GPS 测量回调,register gnss measurements callback
返回每个值的静态标签，最小值映射到标签，最大值映射到标签,get static labels
读取纯文本元素的内容，如果这不是纯文本元素，则抛出异常。,getElementText
取消注册辅助功能管理器。辅助功能状态更改侦听器,remove accessibility state change listener
外部子集的公共标识符。,getPublicId
不推荐使用，要删除：此API元素将在以后的版本中删除。,toString
返回默认的日期/时间格式化程序，该格式化程序对日期和时间都使用短样式,get instance
设置sip服务器的出站代理,set outbound proxy
指示此视图是否对长按事件做出反应,is long clickable
获得此通道的当前静音状态。,getMute
返回指定语言环境中关键字的值,get keyword value
将位图中的像素替换为数组中的颜色,set pixels
返回指定图形上下文中指定字符数组的边界,getStringBounds
打开用于拨打电话和/或接收通用 sip 呼叫的配置文件,open
返回可包含在全局搜索中的可搜索活动的列表,get searchables in global search
返回带有彩色背景的矩形区域,get overview view
根据 window manager.layout params flags 设置窗口的标志,set flags
击中父坐标中的矩形,get hit rect
指示存储应用程序是否属于此上下文并由设备加密存储支持,is device protected storage
返回接口的类字段,get interface class
设置匹配的内容描述标准,desc contains
将矩形区域从另一个分配复制到分配中,copy 3 dr ange from
读取并返回一个对象。,readObject
设置该节点是否被选中,set checked
"以字符串表示形式“ x : % d , y : % d , w : % d , h : % d , wt : % d ”返回计量矩形，其中每个 % d 分别代表 x 、 y 、 width 、 height 和重量点",to string
从布局管理器返回垂直方向的测量规格模式,get mode in other
返回与此对象相同类型的对象，并更改指定的字段。,with
以Java编程语言中 double检索指定的JDBC DOUBLE参数的值。,getDouble
发送请求以开始新的媒体播放会话,start session
如有必要，等待计算完成，然后检索其结果,get
阻塞当前线程，直到条件成立或超时毫秒过去,block
当设置为 true 时，所有具有重量的子项将被视为具有最大子项的最小尺寸,set measure with largest child enabled
以分数形式返回该值的数据,get fraction
设置此唤醒锁是否是引用计数的,set reference counted
dst.rgb = src.rgb dst.a + 1.0 - src.a dst.rgb dst.a = dst.a,for each src atop
此方法已被弃用。覆盖与窗口回收器视图分离的回收器,on detached from window
返回正确的系统窗口插入（以像素为单位）,get system window inset right
通过给定量调整指定的一组大小,adjustSizes
当要求应用程序打开文件列表时调用。,openFiles
以 Enumeration返回接收者的子 Enumeration 。,children
在菜单组件的显示区域中拖动鼠标时调用。,menuDragMouseDragged
会话修改协商期间发生错误时调用,on call change failed
设置要在标题中使用的可绘制对象的资源 ID,set icon
处理菜单中的鼠标拖动,processMenuDragMouseEvent
返回指定像素的蓝色色彩分量，以默认rgb颜色空间srgb中的0到255缩放,getBlue
获取给定 id 的时区和时区类型,get time zone
请求的连接信息可用,on connection info available
通知弹出菜单监听器此弹出菜单将变为可见,firePopupMenuWillBecomeVisible
如果此显示仍然有效，则返回 true ；如果显示已被删除，则返回 false,is valid
从意图中检索扩展数据,get serializable extra
从恢复流中读取记录的原始数据,read entity data
解析 xml 属性以获取布局管理器使用的最常用属性,get properties
打开或关闭单声道模式。,setMono
获取提示文本的资源id,get hint id
当列表行演示者在子项上应用覆盖颜色时，它可能会更改子项的前景可绘制对象,set keep child foreground
返回当对象的文本值与给定字符串完全匹配时满足的条件。,text equals
获取包裹uuid代表的uuid,get uuid
返回此数组中的值的数量,length
将操作列表滚动到指示的位置，选择该操作的视图,set selected action position
将一组文件描述符排入队列以发送给对等方,set file descriptors for send
打开具有指定格式和请求的缓冲区大小的行，使该行获取任何所需的系统资源并开始运行。,open
如果引导步骤支持片段在单独的活动中启动，则可以方便地关闭其他内容之上的引导步骤支持片段或完成活动,finish guided step support fragments
创建一个与传递给测试用例类的类型相同的新内容提供程序，将权限名称设置为权限参数，并使用 sq lite 数据库作为基础数据源,new resolver with content provider from sql
如果 fill before 为 true ，则该动画将在动画开始时间之前应用其变换,set fill before
返回提交按钮是否在必要时启用或从不显示,is submit button enabled
返回用于为了在这个组中的元素，或比较null如果这个集使用natural ordering的元素。,comparator
该方法应该由项目动画器实现调用，以通知任何侦听器所有待处理和活动项目动画已完成,dispatch animations finished
设置内容稀松布使用的颜色,set content scrim color
为特定的名称/值对构建内容 uri，对于使用内容观察器监视更改很有用,get uri for
返回设备支持的事件代码,get events supported
设置区域边界的路径,get boundary path
返回每个跨度的第一个完全可见视图的适配器位置,find first completely visible item positions
返回一个组合 BiConsumer ，它按顺序执行此操作，然后执行 after操作。,andThen
指示此远程连接继续播放拨号后 dtmf 字符串,post dial continue
从给定的参数创建输入法事件并将其分派给客户组件,dispatchInputMethodEvent
指示正在监视的操作的进度,setProgress
"广播接收器的版本。set resultint , string , bundle 用于异步广播处理",set result
执行活动对象的实例化,new activity
返回条目中的值数量,getValueCount
获取此介质尺寸是否为纵向，即高度大于或等于宽度,is portrait
添加 listener作为模型中更改的侦听器。,addChangeListener
返回用于日志记录和注册幂等性的资源名称,get name
返回用于蓝牙 le 广告操作的蓝牙 le 广告商对象,get bluetooth le advertiser
返回实现标题视图adapter.provider的视图,get title view
设置详情页的主要项目,set item
返回此异常的错误代码,get error
检索可用于编写此SQLXML实例表示的XML值的流。,setBinaryStream
获取此会话的控制器,get controller
限制应用程序写入的音轨缓冲区的有效大小,set buffer size in frames
清除给定时间字段中的值,clear
返回该属性在给定对象上表示的当前值,get
记录/公开当前运行的检测并将检测参数包的副本存储在注册表中,register instance
在当前线程中按顺序对每个剩余元素执行给定操作，直到所有元素都已处理或操作引发异常。,forEachRemaining
获取此会话的媒体控制器 compat.transport 控制实例,get transport controls
返回用户选择的值,getValue
返回服务 uuid 上设置的过滤器,get service uuid
当片段不再附加到其活动时调用,on detach
检索由name指定的节点。,getNamedItem
获取处理未注册参数值时使用的当前值清理程序,get unregistered parameter value sanitizer
返回给定路径上的共享/外部存储介质是否被模拟,is external storage emulated
将模型的选定索引设置为 索引 。,setSelectedIndex
根据给定的位图和热点信息创建自定义指针,create
注册 ImageConsumer和 ImageProducer ，以便在以后重建 Image期间访问图像数据。,addConsumer
返回撰写文本开始的索引,get composing text start
返回音轨实例的播放状态,get play state
返回此deque的元素数量, size
当sharedElements已到达list/已就绪后调用，指示其可在source隐藏并在targetActivity显示, onSharedElementsReady
当item从给定position被remove时由SortedList调用, onRemoved
使用Runnable对象创建线程时，start将触发在独立线程中调用其run方法, run
返回仅允许&和空格的value sanitizer, getAmpAndSpaceLegal
返回此spanClass的特殊typeId, getSpanTypeId
给定publicKeyType与CA列表，返回验证secureSocket server端的匹配alias, getServerAliases
返回当前event的prefix，若无则null, getPrefix
对于IO输出，destroy即设置surface为null, destroy
检索并移除queue头部，空则返回null, poll
释放stream相关资源, close
用户请求help时调用，提供当前activity相关content引用, onProvideAssistContent
返回index处属性的prefix, getAttributePrefix
播放控制row变化时调用, onRowChanged
返回scrollLock是否锁定, isScrollLockOn
返回resourceId关联的int数组, getIntArray
获取call剩余待拨号序列, getRemainingPostDialSequence
返回value, getValue
为pager设置adapter, setAdapter
若node可check则返回true, isCheckable
返回当前namespace上下文, getNamespaceContext
由6个bitmap创建立方体贴图allocation, createCubemapFromCubeFaces
返回longSparseArray当前存储的映射数, size
设置加密padding方案集（如PKCS7/OAEP/PKCS1/NoPadding）, setEncryptionPaddings
设置suggestion指向内容的progress信息, setProgress
编辑被取消时调用, editingCanceled
返回初始logo图像资源ID, getLogoResourceId
对每个剩余元素执行action直到处理完或抛异常, forEachRemaining
返回用于render value的component, getComponent
textView因transform获取/失去焦点时调用, onFocusChanged
与codePointBefore(char[],int,int)相同, codePointBefore
若为临时contentProvider返回true, isTemporary
资源空闲返回true, isIdleNow
测试enum是否还有更多元素, hasMoreElements
WPS操作成功完成, onSucceeded
返回entity声明, getDeclaration
生成mipmap链, generateMipmaps
返回edge条件, getEdgeCondition
返回comboBox绘制item的list, getList
返回index处属性styled text值, getText
调用IME service的onAppPrivateCommand, appPrivateCommand
仅当parent被matcher接受时view才被接受, withParent
locale列表为空返回true, isEmpty
子/组ID在数据变更中是否稳定, hasStableIds
用解释器编译函数返回interface实现, getInterface
获取kernel中dst的内核ID, getKernelIdDstIn
设置paint flags, setFlags
将fragmentManager管理的所有fragment dispatch到create状态, dispatchCreate
相对batch get方法, get
变更session启用状态, setEnabled
在adapter中查询给定type的facet provider, getFacetProvider
通知IME editor开始文本输入, onStartInput
矩阵可逆返回true，并将inverse设为逆矩阵, invert
向前滚动直到找到匹配的可见项, scrollIntoView
模拟短按center键, pressDPadCenter
设置cancel按钮的pendingIntent, setCancelButtonIntent
返回PrintService支持但值不支持的attribute数组, getUnsupportedValues
返回long键值, getLong
创建socket并连接到指定host/port，验证证书主机名, createSocket
获取resolution关联的图标, loadIcon
设置匹配scrollable widget的搜索条件, scrollable
item添加到RecyclerView时调用, animateAdd
ICC profile颜色空间签名'5CLR', icSigSpace5CLR
返回getValue()之前序列中的对象, getPreviousValue
设置scroll状态变化监听, setOnScrollListener
要求其他connectionService为outgoing请求创建remoteConnection, createRemoteOutgoingConnection
给animation绑定listener, setAnimationListener
边界insets, borderInsets
未显示candidateView时返回其visibility模式, getCandidatesHiddenVisibility
返回textEvent首字符在char数组中的offset, getTextStart
返回MTP对象width像素值（非图像为0）, getImagePixWidthLong
获取ServiceWorker是否允许content URL访问, getAllowContentAccess
用指定paint绘制圆角矩形, drawRoundRect
验证记录intent是否匹配matcher, verify
appWidget provider升级到新apk时调用, onProviderChanged
发布通知时设置dismissalId，取消时同dismissalId的其他设备通知也取消, setDismissalId
从数据线input buffer读取audio数据, read
设置effect更新监听, setUpdateListener
设置待查询table列表, setTables
根据unit计算到另一year-month的时间量, until
返回本predicate与other的短路逻辑AND组合, and
窗口首次可见时调用, windowOpened
设置表盘首peek card是否不透明, setPeekOpacityMode
给fragment设置adapter, setAdapter
通知fragmentManager所有fragment选项菜单已关闭, dispatchOptionsMenuClosed
返回当前选中track索引（对应getTrackInfo()数组）, getSelectedTrack
相对batch get方法, get
设置指定列是否可NULL, setNullable
返回共享dirty内存总量KB, getTotalSharedDirty
返回drawable的bounds矩形, getBounds
连接custom tab预热服务并初始化浏览器, connectAndInitialize
返回后续dialog要显示的消息, getDialogMessage
设置远程视频surface, setDisplaySurface
将文件从此目录移动到另一目录, move
获取属性值, getValue
在特定local route启用/禁用TDLS, setTdlsEnabled
注册DTD事件处理器, setDTDHandler
返回操作附加信息extra Bundle, getExtras
相对put方法写入int值, putInt
请求获取media session状态, getSessionStatus
添加调用此操作的keyCode, addKeyCode
更新文件组owner, setGroup
设置播放控制row当前时间ms, setCurrentTime
测试char前是否总有normalization边界, hasBoundaryBefore
获取parent reader, getParent
通知滚动已到达水平边界, notifyHorizontalEdgeReached
设置drawable描边宽度和colorStateList, setStroke
类似lockCanvas但可指定dirty rect, lockCanvas
返回color/alpha component位数数组, getComponentSize
用模数长度初始化keyPairGenerator，可选SecureRandom, initialize
决定是否选择Certificate, match
依赖view大小/位置变化时调用, onDependentViewChanged
返回char序列首尾trim空格/控制字符后的长度, getTrimmedLength
返回requestor配置的所有network列表, getConfiguredNetworks
文件系统可用字节数（含保留块）, getFreeBytes
响应call视频session属性修改请求, sendSessionModifyResponse
将当前进程绑定到network, bindProcessToNetwork
返回locale规范化base name（不含keyword）, getBaseName
给定charStyle仅应用于span的单个区域, wrap
设置menuBar选择help时显示的helpMenu, setHelpMenu
刷新listener注册的所有sensor FIFO, flush
将null绑定到index, bindNull
返回glassPane, getGlassPane
从framework rating对象创建实例, fromRating
记录intent已验证返回true, hasBeenVerified
用查找标记替换文本实现text completion, replaceText
返回存储单元上format/parent匹配的对象句柄列表, getObjectHandles
为给定layoutManager创建vertical方向helper, createVerticalHelper
