Functional Description,Method Name
查找并返回此缓冲区与给定缓冲区之间第一个不匹配的相对索引。,mismatch
返回此set的部分视图，其元素范围为 fromElement到 toElement 。,subSet
返回与此对象具有相同类型的对象，并添加指定的句点。,plus
返回已应用于该视图的变换，例如平移或缩放,get transformation
将此梦想标记为交互式以接收输入事件,set interactive
告诉视图层次结构需要重新评估全局视图属性,recompute view attributes
检查 sip 服务是否已成功将配置文件注册到配置文件中指定的用于接收呼叫的 sip 提供商,is registered
菜单取消时调用。,menuCanceled
返回此操作的第二行标签,get label 2
设置远程输入历史记录,set remote input history
返回 Accessible在表中指定行和列处占用的列数。,getAccessibleColumnExtentAt
在标签发现时从 atqb / sensb res 返回应用程序数据字节,get application data
如果该区域为空则返回 true,is empty
将矩阵 m 平移 x 、 y 和 z 就位,translate m
检索并删除第一个（最低）元素，如果此组为空，则返回 null 。,pollFirst
创建一个新文档作为该目录的直接子目录,create file
确定指定的代码点是否为大写字符,is upper case
返回当前默认格式区域设置的货币格式,get currency instance
使所有物品装饰无效,invalidate item decorations
将此 RowSet对象命令中的指定参数设置为给定的Java double值。,setDouble
此方法已被弃用。根据请求使用子焦点回收器视图、状态、视图、视图,on request child focus
提供对给定区域设置的预定义基数复数规则的访问,for locale
返回表中指定行和列的 Accessible 。,getAccessibleAt
从每次发生数据模型更改时通知的列表中删除侦听器。,removeListDataListener
将指定参数设置为给定的 java.sql.SQLXML对象。,setSQLXML
在全屏模式下运行时，当用户在提取的文本视图中移动光标时调用此函数,on extracted selection changed
设置可绘制的图像并带有淡入动画,set main image
获取配置文件到远程设备的当前连接状态,get connection state
返回与当前线程关联的looper对象,my looper
返回一个日期格式对象，可用于在默认区域设置中格式化日期和时间,get pattern instance
设置此通道的静音状态。,setMute
获取 lte 的定时提前值,get timing advance
查找并返回此缓冲区与给定缓冲区之间第一个不匹配的相对索引。,mismatch
返回与给定别名关联的键。,getPrivateKey
将此SQLXML实例指定的XML值设置为给定的String表示形式。,setString
添加一个新的意图操作来匹配,add action
获取给定管理员的密码过期超时,get password expiration timeout
返回与此对象关联的 AccessibleContext 。,getAccessibleContext
在上次调用暂停后恢复网络视图,on resume
返回已编辑的项目,getItem
获取应用这些统计信息的时间间隔的开始时间,get start time nano
缓存未命中后调用以计算相应键的值,create
请求查询会话支持哪些扩展命令,on get supported commands
获取最大值,get max
通过 id 查找按钮引导操作,find button action by id
返回更正用户输入内容的新文本,get new text
考虑到之前为开始和结束场景捕获的开始值和结束值结构中的信息，此方法创建将为此过渡运行的动画,create animator
规范化 mime 数据类型,normalize mime type
获取是否为当前主机存储了凭据，即,use http auth username password
获取历史触摸 Majorint ，第一个指针索引的 int 可以是任意指针标识符,get historical touch major
当同步管理器的不同方面发生变化时请求通知,add status change listener
返回此规则的名称,get name
由容器活动在其停止时调用，以便本地活动管理器可以对其持有的活动执行相应的操作,dispatch stop
返回用于呈现标题的演示者，如果未设置则返回 null,get header presenter
包含真实UI的向量。,uis
返回该语言环境的本地化语言，以便在默认显示语言环境中显示,get display language
将整个文档类型声明作为字符串返回，包括内部DTD子集。,getDocumentTypeDeclaration
返回指定位置的选中状态,is item checked
删除原子文件,delete
返回滚动中当前的 x 偏移量,get curr x
相机视频的宽度（以像素为单位）,get width
在用户更改首选项之后但在设置内部状态之前调用此方法,call change listener
将可以为列值返回的最大字节数设置为给定的字节数。,setMaxFieldSize
控制该文本视图在冻结为冰柱时是否保存其整个文本内容以及动态状态（例如光标位置）,set freezes text
通知外部退出请求者退出将继续，并执行默认值QuitStrategy 。,performQuit
从该通道读取一个字节序列到给定的缓冲区。,read
向用户显示一个片段，暂时替换该片段的内容,start immersive fragment
使用指定的配置文件创建 sip 会话,create sip session
返回指定电话帐户句柄的电话帐户,get phone account
设置 gmtutc 本身的本地化 gmt 格式字符串 gmt 偏移量为 0,set gmtz ero format
检查指定的单元是否受支持。,isSupported
返回具有给定图标的第一个选项卡索引，如果没有选项卡具有此图标，则返回-1,selectAllAccessibleSelection
返回对元素的兄弟节点的引用，该节点最紧跟在文档顺序中的元素之后，并且是Element类型的元素 。,getNextElementSibling
为当前共享意图启动选择器活动,start chooser
返回主要呼叫的视频提供商,get video provider
除了获取窗口对齐偏移之外，还设置窗口对齐的偏移百分比,set window alignment offset percent
注册音频设备回调对象以接收已连接音频设备集更改的通知,register audio device callback
用于启动具有特定意图的活动的实用方法,launch activity with intent
测试对namespaceURI / name是否属于此 NameList 。,containsNS
获取端口号,get port
将 boolean值写入流。,writeBoolean
通知应用程序此录制会话已停止录制，并在电视合同中创建了一个新的数据条目。录制的节目表描述了新录制的节目,notify recording stopped
钩子允许行为生成其内部状态的表示，该表示稍后可用于创建具有相同状态的新实例,on save instance state
停止时调度到所有片段,on stop
设置指定列是否为带符号的数字。,setSigned
类似于获取测量的高度和状态，但仅返回原始宽度分量，即结果被测量的尺寸掩码掩盖,get measured height
返回第一个且唯一子项加上父项insets的大小的首选大小,preferredLayoutSize
返回设备支持的操作码,get operations supported
从 icu 已知的预定义编号系统之一返回编号系统,get instance by name
结束由回收器 view.item 动画器创建的视图上的所有动画,end animation
如果正在进行假拖动，则返回 true,is fake dragging
方法可以由被调用ThreadPoolExecutor时execute不能接受的任务。,rejectedExecution
从放大率更改侦听器列表中删除指定更改侦听器的所有实例,remove on show mode changed listener
确定规范是否匹配选项 1 ，如类文档中所述设置,is canonical
检索作业调度程序中待处理的此包的所有作业,get all pending jobs
字符串之间的空间。,padSpaceBetweenStrings
如果支持自动曝光锁定，则返回 true,is auto exposure lock supported
从指定的MIDI声音库中卸载指定音色引用的乐器。,unloadInstruments
"返回将由 get group 创建的组视图类型数量 viewint , boolean , view , view group",get group type count
获取与此会话关联的 sip 配置文件,get local profile
插入位置更新时调用。,caretUpdate
执行向左移动动作,left
设置此操作将直接启动活动的提示，告诉平台它可以生成适当的转换。,set hint launches activity
为视频创建视频缩略图,create video thumbnail
返回一个通用视图断言，该断言选择器选择的后代视图与指定的匹配器匹配,selected descendants match
返回此START_ELEMENT上的属性计数，此方法仅在START_ELEMENT或ATTRIBUTE上有效。,getAttributeCount
关闭或隐藏此输入法实例或其类打开的所有窗口。,hideWindows
将查询添加到最近查询列表,save recent query
返回此日期时间模式生成器对象的副本,clone
用于指示在事件触发期间是否按下'alt'键。,getAltKey
告诉此视图父文本方向是否已解析,is text direction resolved
在将滚动窗格布局设置为JScrollPane的布局管理器后调用此方法,syncWithScrollPane
将文本提交到文本框并设置新的光标位置,commit text
返回特定区域设置的特定样式数字格式,get instance
当提供者状态改变时调用,on status changed
从媒体路由器中删除所有应用程序指定的路由,clear user routes
控制对 context.register 接收器的不匹配调用的调试帮助的包含,set debug unregister
获取将在首选项活动中显示的视图,get view
返回将添加到组合框的鼠标侦听器或null。,getMouseListener
获取系统可用功能的列表,get system available features
获取节点信息，该信息所表示的视图用作用于可访问性目的的标签,get label for
检索此 Array对象指定的SQL ARRAY值的内容。,getArray
启用或禁用效果,set enabled
将路径字符串或从路径字符串连接时的字符串序列转换为Path。,getPath
从对象的选择中移除对象的指定子对象。,removeAccessibleSelection
返回关键监听器,get on key listener
当活动进入后台但尚未被终止时，作为活动生命周期的一部分调用,on pause
如果光标指向包含所有空格的字符数据事件，则返回true,isWhiteSpace
指示视图水平滚动时垂直边缘是否褪色,is vertical fading edge enabled
如果选择器未指定任何功能，则返回 true,is empty
获取总页数,get page count
构造一个新的 by 选择器并设置文本值标准,text contains
设置该目标的最大亮度值,set maximum lightness
已弃用，转而选择新的选择帐户 意向帐户 、列表 、字符串 、捆绑包,new choose account intent
明确撤销权限,release
获取与当前事件的测量相关的 gnss 接收器时钟信息,get clock
setsmall iconint 的变体，当图标是可绘制的级别列表时，它需要一个额外的级别参数,set small icon
JViewport在JComponent的默认实现中重写此方法返回false,isOptimizedDrawingEnabled
将 RowSet对象中的列数设置为给定数字。,setColumnCount
从意图中检索扩展数据,get parcelable array extra
指定创建连接时要使用的密码,password
返回此路由信息对象的哈希码,hash code
返回当前是否向用户显示软输入视图,is input view shown
将菜单项的背景设置为给定资源,set item background
比较电话号码 a 和 b ，如果它们对于来电显示而言足够相同，则返回 true,compare
设置条目的用户可见标题,set title
将光标移动到偏移索引,set selection
用于获取对话框的句柄,get dialog
保存手势库,save
返回相应输入方法的图标。,getInputMethodIcon
给定源字符数组，返回 ucharacter 迭代器对象,get instance
返回一个大十进制，其值为 this 和 rhs 中的最大值,max
鼠标退出组件时调用。,mouseExited
返回代表正在安装的应用程序的标签,get app label
对嵌套滚动操作结束做出反应,on stop nested scroll
检索绑定对象的状态。,getStateToBind
将多行插入到给定 url 处的表中,bulk insert
该方法供内容解析器使用,get type
设置操作栏的向上指示器内容描述,set action bar description
关闭枚举,close
构建扫描设置,build
将此 RowSet对象命令中的指定参数设置为给定的Java int值。,setInt
设置进度旋转盘的背景颜色,set progress background color scheme resource
返回主图像视图,get main image view
给定 0...size - 1 范围内的索引，返回此长稀疏数组存储的第索引键-值映射中的值,value at
暂停播放,pause
从颜色资源中设置进度动画中使用的颜色资源,set color scheme resources
从此 Web 视图中删除先前注入的 java 对象,remove javascript interface
设置此视图的基础高程（以像素为单位）,set elevation
表示鼠标位于按钮上方。,isRollover
返回显示指南面包屑的视图,get breadcrumb view
返回此视图组是否将其子级剪切到其填充，并调整大小但不将任何边缘效果剪切到填充区域（如果存在填充）,get clip to padding
通知此连接请求中止,on abort
返回远程设备支持的功能 uui ds,get uuids
如果 sdk > = l 则返回 true，其中启用 z 阴影，以便在水平列表的每个子项上启用 z 顺序,is using zo rder
唤醒一个等待线程。,signal
从给定节点向下，树结构发生了根本性变化后调用,treeStructureChanged
返回当前布局充气机工厂或 null,get factory
覆盖以处理调整当前输出音量的请求,on adjust volume
返回一个匹配器，该匹配器根据其提示属性值来匹配文本视图。,with hint
将索引处的前景色设置为前景色，可以为null，在这种情况下，选项卡的前景色将默认为此TabbedPane的前景色,setForegroundAt
从原始类型的传输类型数组中设置指定数据缓冲区中单个像素的数据,setDataElements
定义是否应绘制垂直滚动条,set vertical scroll bar enabled
如果未识别属性名称，则返回由 getProperty(String)或 null识别的名称数组。,getPropertyNames
获取要显示的值而不是字符串值,get displayed values
跟踪该作业是否会在给定时间段内重复,is periodic
返回过滤器中的操作,get action
增加按钮。,increaseButton
相对 put方法 （可选操作） 。,put
返回一个掩码，指示整数像素表示中哪些位包含蓝色组件,getBlueMask
相对批量 放置方法 （可选操作） 。,put
设置 arg 扩展参数,set extension
检索采样器，将 min 和 mag 设置为最接近，并将环绕模式设置为钳制,clampn earest
此属性确定通过 NodeIterator呈现的节点类型。,getWhatToShow
返回这张卡的类型,get card type
获取下拉视图选择的位置（如果有）,get list selection
如果它是调用包装绘图的结果，则解开绘图,unwrap
按名称空间名称查找属性的索引。,getIndex
获取打印机状态,get status
将由参数的最低有效位给出的单个位写入当前字节位置内当前位偏移的流。,writeBit
如果可能，立即将元素转移给等待的消费者。,tryTransfer
如果 overrides itemvisibility 返回 true ，则此方法的返回值将帮助确定此操作提供程序绑定到的菜单项的可见性,is visible
获取此导航视图中的标题数量,get header count
当系统的默认数据网络处于活动状态时开始监听报告，这意味着这是执行网络流量的好时机。,add default network active listener
获取设备在给定时间范围内的硬件配置，并按指定时间间隔聚合,query configurations
钩子允许行为重新应用先前由保存实例状态协调器布局 v 生成的内部状态表示。,on restore instance state
注册PropertyChange事件的侦听器。,addPropertyChangeListener
返回首次安装包的时间,get first install time
设置一周的第一天,set first day of week
设置意图重新传递首选项,set intent redelivery
设置是否启用dom存储api,set dom storage enabled
给定源图像中的一个点，返回相应目标点的位置。,getPoint2D
获得当前的单声道/多声道模式。,getMono
当选项卡进入选定状态时调用,on tab selected
返回当前默认格式区域设置的科学格式,get scientific instance
使用给定类弹出片段的便捷方法,pop back stack to guided step support fragment
返回支持此缓冲区的float数组 （可选操作） 。,array
发送当前客户端接收的媒体按钮的模拟按键事件,send media key event
获取排序器的变量顶部值,get variable top
将迭代器的当前迭代位置设置为指定位置之前的最后一个边界位置,preceding
在此任务中启动一个活动,start activity
返回具有特定标识符的菜单项,find item
返回从此构建器上设置的字段创建的 ulocale 实例,build
如果视图在其填充内绘制内容并启用淡入淡出边缘，则它需要支持填充偏移,is padding offset required
返回此日历定义的字段数,get field count
设置当使用活动转换调用时，转换到或离开活动时窗口背景淡入淡出的持续时间（以毫秒为单位）,set transition background fade duration
检查指定的点是否在此对象的边界内，其中点的x和y坐标定义为相对于对象的坐标系。,contains
获取客户端证书,get client certificate
如果未找到parentTag，则在文档中检查备用标记。,alternateParentTag
设置此会话正在播放的流,set playback to local
除了偏移量之外，还获取项目对齐的偏移百分比,get item alignment offset percent
将此对象的动画值设置为这组浮点数,set float values
用于将意图发送者或空指针写入包裹的便捷函数,write intent sender or null to parcel
创建一个新的 ConnectionBuilder实例,createConnectionBuilder
返回 pss 内存使用总量（以 kb 为单位）,get total pss
从当前已注册接收图像数据的使用者列表中删除指定的 ImageConsumer对象。,removeConsumer
重置已触发的 ui 观察程序,reset watcher triggers
设置按钮点击监听器,set button click listener
覆盖以处理暂停播放的请求,on pause
创建一个新的输入法会话，可以将其交给客户端应用程序以与输入法进行交互,create session
返回当前进程主线程的looper,get main looper
设置操作栏的副标题,set subtitle
设置垂直滚动条显示策略,setVerticalScrollBarPolicy
检索SQL的切片 ARRAY通过该指定值 Array对象，与指定的开始 index和含有最多 count SQL数组中连续元素。,getArray
返回指定标签的整数值,get attribute int
树折叠通知,treeCollapsed
返回 USB 设备的 USB id,get device id
测试此过滤器是否匹配给定的意图,match
获取与主线程关联的提供者的处理程序,get handler
返回列的当前值,get current value
用于从包裹标头读取异常结果的特殊函数，在收到交易结果后使用,read exception from parcel
返回设备的序列号,get serial
获取默认工厂实例,get default
设置颜色,set color
调用处理触摸屏事件,dispatch touch event
查询给定的 url ，返回结果集上的光标,query
设置监听器在当前值发生变化时收到通知,set on value changed listener
设置此弹出菜单的调用者，即弹出菜单要显示的组件,setInvoker
设置徽标显示在操作栏的“主页”部分,set logo
由绑定视图调用以设置图像视图的图像，但前提是不存在现有的视图绑定器或者现有的视图绑定器无法处理与图像视图的绑定,set view image
获取此对象的值为 Number 。,getCurrentAccessibleValue
将指定参数设置为给定的Java float值。,setFloat
返回与指定位置对应的条目的索引,getIndex
返回包含原始视频帧的出队输出缓冲区索引的只读图像对象,get output image
检索应用程序的资源,get resources for application
返回条形的粗细笔画宽度,get bar thickness
获取相机的 y 位置,get location y
从此构建器创建元素,create
返回当前正在编辑的元素的路径,getEditingPath
返回值。,getValue
获取存储为 char 数组的当前日期格式,get date format order
将此通知压平成一个包裹,write to parcel
在运行属性动画的底层动画器中设置更新事件的侦听器,set update listener
请参阅请求子焦点android.view.view，android.view.view,on request child focus
设置此列表视图后面的数据,set adapter
返回当路由支持时是否启用音量滑块和使用音量键的音量控制,is volume control enabled
当目标滚动位置不是回收器视图的子视图时，此方法计算朝向该子视图的方向向量并触发平滑滚动,update action for interim target
从包中读取并返回一个新的可序列化对象,read serializable
通知主机应用程序 Web 视图将加载给定 url 指定的资源,on load resource
打电话通知您壁纸变得可见或隐藏,on visibility changed
表示该远程连接的状态提示发生了变化,on status hints changed
启用或禁用菜单项,setSelectionValues
分离子视图并将其添加到回收器的废料堆中,detach and scrap view at
返回集合中的下一个节点，并提升集合中 NodeIterator的位置。,nextNode
当内容 uri 更改时触发时，这是我们在安排作业之前将使用的最大延迟,get trigger content max delay
将分配中的矩形区域复制到该分配中的矩形区域,copy 2 dr ange from
检查回收器视图是否配置为将子视图剪切到其填充,get clip to padding
用于检查此事件是否为EndElement的实用程序函数。,isEndElement
将数组复制到此分配的一维区域,copy 1 dr ange from
根据此显示器的实际尺寸获取显示指标,get real metrics
返回与此应用程序配置关联的数据类型,get data type
返回该资产条目数据的总字节数,get length
所请求的 p2p 组信息可用,on group info available
删除已删除视图的所有待处理动画,clear disappearing children
当会话中的密钥更改状态时调用，例如当许可证续订或过期时,on key status change
创建一个新的组件标识符，其中类名可以指定为绝对名称或相对于包含包的相对名称,create relative
完成并关闭此操作模式,finish
将指定参数设置为给定的 java.math.BigDecimal值。,setBigDecimal
返回轮廓是否为空,is empty
测试当前状态是否是此流的一部分。,accept
返回为此按钮选择的尺寸,get size
返回由鼠标事件位置确定的组件的工具提示文本,getAccessibleRowAtIndex
ICC配置文件标题位置：配置文件的ID。,icHdrProfileID
确定是否至少有一个指纹已登记,has enrolled fingerprints
返回当前的DTD处理程序。,getDTDHandler
覆盖此方法以执行您的活动完成后应运行的任何代码,after activity finished
去掉锚点的url,strip anchor
使用特定格式化程序从文本字符串中获取 ZonedDateTime的实例。,parse
获取同步事件类型,get type
重新应用编辑。,redo
返回音轨缓冲区的最大大小（以帧为单位）,get buffer capacity in frames
设置此数据源在尝试连接到数据库时将等待的最长时间（以秒为单位）。,setLoginTimeout
返回有关实现此拼写检查器的服务的原始信息,get service info
以网络字节顺序将两个字节的长度信息写入输出流，然后是字符串 s中每个字符的 modified UTF-8表示。,writeUTF
获取此打印作业是否被取消,is cancelled
设置用于运动事件的当前工具类型,set tool type
设置此卡的选定状态,set selected
为给定游标创建实体迭代器,new entity iterator
返回此排序规则键的哈希码,hash code
查询表中的行数,query num entries
返回给定语言环境的脚本,maximize and get script
获取日期字段。,getDayOfYear
根据可冻结界面，这是冻结的吗？,is frozen
从当前获得焦点的视图开始，在 root 的后代中查找下一个获得焦点的视图,find next focus
获取此堆栈帧表示的方法的声明类的 binary name 。,getClassName
检查一块瓷砖进行书写。,getWritableTile
获取此远程连接的状态,get state
返回此类型变量的潜在注释边界。,getAnnotatedBounds
计算并返回缓冲图像的任意区域,getData
用户会话切换到时调用。,userSessionActivated
将此间谍标记为已初始化,initialize
将短数组包装到缓冲区中。,wrap
检索配置器的单例实例,get instance
设置监听器来响应导航事件,set navigation on click listener
设置用于可选图像的缩放模式,set image scale mode
获取 Android 密钥存储中存储密钥的条目别名,get keystore alias
获取与此远程连接有关的状态提示,get status hints
返回“index”处属性的整数值,get attribute int value
导致当前线程等待，直到发出信号或中断，或者指定的等待时间过去。,awaitNanos
取消注册已使用注册接收器应用程序配置 string 、 int 、蓝牙健康回调注册的应用程序配置需要蓝牙权限,unregister app configuration
返回工具提示文本。,getToolTipText
返回Y方向上的切片数。,getNumYTiles
返回已传递给 view.drag 阴影构建器视图构造函数的视图对象,get view
返回组件的方向横向或纵向,getOrientation
返回路径中的名称元素数。,getNameCount
返回该设备包含的 USB 配置数量,get configuration count
返回此通配符类型的可能带注释的下限。,getAnnotatedLowerBounds
返回一个新的中断迭代器实例，该迭代器定位合法的换行位置,get line instance
就像正在运行一样，该方法返回当前是否有任何项目动画正在运行,is running
设置源,set source
设置在快速联系人 ui 中应优先考虑的 mimetype,set prioritized mime type
一旦在视图创建的 view 、bundle 方法中创建了它们的视图，片段就需要调用此回调,notify view created
如果支持卸载扫描批处理，则返回 true,is offloaded scan batching supported
每当视图热点发生变化并且需要传播到视图管理的可绘制对象或子视图时，都会调用此函数,drawable hotspot changed
返回从 get filter 获得的过滤器，如果未使用可过滤的调用 set adapter 则返回 null,get filter
启用或禁用行选择效果,set select effect enabled
返回制表位相对于行前缘的偏移量,get tab stop
返回菜单项是否“激活”,isArmed
如果给定包中的活动可以处理此记录的意图，则返回 true,can be handled by
获取第一个指针索引的 axis valueint 可以是任意指针标识符,get axis value
将指定参数设置为给定的 Reader对象。,setCharacterStream
返回“class”属性的值，如果不存在则返回 null,get class attribute
默认情况下，此类使用简单的数组适配器,create adapter
返回一个字符串，该字符串明确描述电视内容分级对象中包含的分级信息,flatten to string
检查当前手势中跟踪的指定指针是否超过了所需的倾斜阈值,check touch slop
返回集合中的 index项。,item
返回该路线的当前音量,get volume
返回该地址的哈希码,hash code
删除回调,remove
创建一个共享此缓冲区内容的新的只读字节缓冲区。,asReadOnlyBuffer
接收文档开头的通知。,startDocument
创建一个新的组视图来保存光标指向的组数据,new group view
检索指定字节数组 pattern在此 Blob对象表示的 BLOB值内开始的字节位置。,position
返回由应用程序清单中的活动元素内的父活动元素指定的源活动的父活动的完全限定类名。,get parent activity name
启动蓝牙广告,start advertising
作为 XML declaration的一部分，指定此文档是否为独立的属性。,getXmlStandalone
设置同步附加功能忽略设置的便捷功能,set ignore settings
返回 Accessible子 Accessible （如果存在），包含在本地坐标 Point 。,getAccessibleAt
列表中的数量为 DOMImplementation 。,getLength
如果可以的话，启动一组活动作为合成任务堆栈,start activities
表示可写字节流的语言和绑定依赖类型的属性。,setByteStream
设置前景是否应该在填充中,set foreground in padding
返回滚动中的起始 y 偏移量,get start y
请参阅内容提供者.插入,insert
标准到字符串,to string
对背景可绘制应用色调,set background tint list
如果被测活动调用完成activityint，此方法将返回请求代码,get finished activity request
返回此映射将指定键映射到的值。,get
设置浮动键的值,set float
"以int形式返回位于x,y处像素的指定波段中的样本",getSample
返回当前搜索栏提示文本,get hint
设置推荐的描述文本,set text
判断此缓冲区是否为只读。,isReadOnly
将指定参数设置为给定的Java int值。,setInt
将TRC作为short数组返回。,getTRC
向关联的本地配置文件指定的服务器执行注册,register
喷气发动机生成新事件时的回调,on jet event
用指定的字符串替换从指定的16位单位偏移量开始的字符。,replaceData
所选单选按钮的颜色。,selectColor
注意：不要从drawandroid.graphics.canvas、drawandroid.graphics.canvas、调度drawandroid.graphics.canvas或任何相关方法调用此方法,remove view
获取内部卡片顶部边缘和卡片内容之间的填充,get content padding top
以 rgb 封装 int 的形式从调色板返回深色且充满活力的颜色,get dark vibrant color
处理滚动以响应“home / end”快捷键,full scroll
应用每个内容提供程序操作对象并返回其结果的数组,apply batch
作为完整备份操作的一部分写入整个文件,full backup file
递减到文本中前一个代码单元的位置，并返回预递减语义,previous
此方法已被弃用。使用 sleeplong 代替,sleep
检索与 get Broadcast itemint 返回的项目关联的 cookie,get broadcast cookie
初始化片段主机的标准选项菜单的内容,on create options menu
将集合的内容作为字符串添加到此 unicode 集中,add
返回过渡集中指定位置处的子过渡,get transition at
由管理设备的应用程序调用以设置密码中所需的最少数字位数,set password minimum numeric
检查媒体播放器是否正在播放,is playing
返回JViewport的一个子项或为null,getView
设置激活自动滚动后达到当前触摸位置目标速度所需的时间量,set ramp up duration
如果此 ImageInputStream缓存数据本身以允许向后搜索，则返回 true ，并且缓存保存在主存储器中。,isCachedMemory
设置日期选择器的日期，以毫秒为单位，自 1970 年 1 月 1 日 00:00:00 获取默认时区,date
通过复制内存（blitting）或更改显示指针（flipping）使下一个可用缓冲区可见,show
注册一个回调，当选择基本网格视图中的项目时调用,set on child view holder selected listener
其属性将由此动画动画化的目标对象,get target
通知服务它应该停止任何正在进行的语音合成,on stop
这只适用于从渲染脚本脚本文件反映的自动生成的代码,set from field packer
获取该节点是否可点击,is clickable
请求关闭所有系统对话框和状态栏阴影等，以允许访问会话的用户界面,close system dialogs
该应用程序是否指定了自己的软输入模式？,has soft input mode
根据其解析的布局方向返回此视图的开始填充,get padding start
设置 arg 密码参数,set password
开始平滑滚动到适配器位置,smooth scroll to position
在模型的末尾添加项目。,addElement
返回迭代中的下一个 long元素。,nextLong
获取此操作的标签,get label
从 xml 解析“intent”元素及其子元素并实例化一个意图对象,parse intent
返回指定像素的所有样本的int数组，每个数组元素一个样本,getPixel
返回可用货币的集合,get available currencies
从应用程序包的默认字符串表返回本地化的、样式化的字符序列,get text
返回通过 set baselong 设置的基准时间,get base
设置语言环境,set locale
控制菜单是否应以 qwerty 模式字母快捷键或 12 键模式数字快捷键运行,set qwerty mode
通知小部件刷新状态已更改,set refreshing
发送停止媒体播放并清除媒体播放队列的请求,stop
返回组中指定位置的视图,get child at
设置对象适配器,set adapter
如果此任务完成，则返回 true 。,isDone
设置卡片边缘和卡片视图子级之间的填充,set content padding
分配一个新的双缓冲区。,allocate
返回水平滚动条显示策略,getHorizontalScrollBarPolicy
如果视口应始终强制此 Scrollable的宽度与视口的宽度匹配，则返回true。,getScrollableTracksViewportWidth
打开或关闭此 RowSet对象的转义处理。,setEscapeProcessing
获取与帐户关联的已保存密码,get password
计算两个临时对象之间的时间量。,between
返回一个大十进制，其值为 +this,plus
使用要插入视图的父视图和用于为给定对象选择演示者的演示者选择器来初始化切换器,init
返回是否使用科学计数法,is scientific notation
设置会议的功能,set connection capabilities
如果尚未连接，这将推迟挂起的远程视图适配器上更改的通知数据集,defer notify data set changed
获取时钟的亚纳秒偏差,get bias nanos
for name string 方法的替代方法,for name
确定此打印服务是否支持特定的 DocFlavor 。,isDocFlavorSupported
由应用程序小部件主机调用，以指示它将通过在将来的某个时刻调用 advance 自动推进此适配器视图翻转器的视图,fyi will be advanced by host kt hx
返回字符串文本与搜索模式匹配的上一个点的索引，从当前位置开始,previous
返回文件系统上存储属于该应用程序的所有私有文件的目录的绝对路径,get data dir
添加指定格式的曲目,add track
"设置矩阵平移 dx , dy",set translate
返回表示色调再现曲线（TRC）的伽玛值。,getGamma
设置此窗口在显示时是否应该是模态的,set modal
创建供远程活动使用的共享元素的快照，并使用 on create snapshot viewandroid.content.context 、 android.os.parcelable 进行重构,on capture shared element snapshot
图像的默认高度（以像素为单位）,get height
作为调用取消此视图或父视图上待处理输入事件的结果而调用,on cancel pending input events
创建一个活动选项，指定一个动画，其中新活动从屏幕的一小部分原始区域显示到其最终的完整表示,make clip reveal animation
将属性写入输出流,writeAttribute
当拖动的鼠标进入菜单组件的显示区域时调用。,menuDragMouseEntered
相对 put方法 （可选操作） 。,put
定期调用以更新表盘显示的时间,on time tick
用户移动了框架。,dragFrame
如果此视图可聚焦或包含可获取的视图，则返回 true,has focusable
返回此 YearMonth的副本，并减去指定的年数。,minusYears
计算公历月份的儒略日,compute gregorian month start
选择提供的选项，将选项的图标动画到视图的中心并触发适当的回调,perform select option
设置该视图锚点的id,set anchor id
启用或禁用当前客户端窗口的指定输入方法的位置和状态的通知。,enableClientWindowNotification
从参数中删除 gps latitude 、 longitude 、 altitude 和 timestamp,remove gps data
设置网格视图寻呼机是否应在调度期间使用 insets apply window insets window insets,set consume window insets
返回一个新的文件属性视图，以访问此目录中文件的文件属性。,getFileAttributeView
提供分派到视图层次结构的原始窗口插图,get root window insets
与 acquire 相同，但设置 target 、 What 、 arg1 、 arg2 和 obj 成员的值,obtain
返回此映射中包含的键的Set视图。,keySet
返回协议族的名称。,name
此日期的哈希码。,hashCode
如果给定质量级别的第一个后置摄像头存在摄像机配置文件，则返回 true,has profile
返回所有银行的数组元素偏移量,getOffsets
通知外部退出请求者用户已明确取消挂起的退出，并使应用程序保持运行。,cancelQuit
确定指定的 ImageConsumer对象当前是否已在此 ImageProducer注册为其消费者之一。,isConsumer
定义布局是否应由回收器视图测量，或者布局管理器想要自行处理布局测量,set auto measure enabled
比较两个范围是否相等,equals
返回此频道的位置。,position
返回适合在默认显示区域设置中呈现给用户的时区名称,get display name
检索但不删除此双端队列的第一个元素，如果此双端队列为空，则返回 null 。,peekFirst
检索指定的值 NCHAR ， NVARCHAR或 LONGNVARCHAR作为参数 String Java编程语言。,getNString
返回有关适合打印错误消息的解析器状态的消息,get position description
注册一个可访问性管理器。触摸探索状态更改监听器，用于系统全局触摸探索状态的变化,add touch exploration state change listener
将一个长值插入到该包的映射中，替换给定键的任何现有值,put long
访问未知类型。,visitUnknown
请求播放器从当前位置开始播放,start playing
返回布局可以使用的最大空间量,maximumLayoutSize
设置用于表示 nan 的字符串,set na n
展平字符序列以及可以跨进程将任何样式复制到包中,write to parcel
读取流中的下一个属性并将其作为Java编程语言中的 String返回。,readNString
如果指定的属性值尚不存在，则将其添加到此属性集中，首先删除与指定属性值相同的属性类别中的任何现有值（可选操作）。,add
返回一个使用正则表达式确定哪些条目要包含的行过滤器,regexFilter
用于实例化播放控制行和相应的播放控制行演示者的辅助方法,create controls row and presenter
